sheepTrade_2004.2013,Argentina,Bolivia,Brazil,Colombia,Ecuador,Peru,Uruguay,Venezuela
Argentina,1,1,1,1,1,1,108,1
Bolivia,1,1,1,1,1,493,1,1
Brazil,227,1,1,1,1,1,108575,1
Colombia,1,1,1,1,1,1,146,1
Ecuador,1,1,1,1,1,1,4125,1
Peru,1,1,1,1,1,1,36,1
Uruguay,32,1,1,1,1,1,1,1
Venezuela,1,1,1,1,1,1,1,1
