pigsTrade_1986.1995,Argentina,Bolivia,Brazil,Colombia,Ecuador,Peru,Uruguay,Venezuela
Argentina,1,1,4348,1,1,1,481,1
Bolivia,98,1,105,1,1,430,1,1
Brazil,27,1,1,1,1,1,8,1
Colombia,1,1,1,1,1,1,1,192079
Ecuador,1,1,1,14983,1,199,1,148
Peru,1,1,1,1,1,1,1,1
Uruguay,30,1,959,1,1,1,1,1
Venezuela,1,1,1,1,1,1,1,1
