Sample_1	Sample_2	Sample_3	Sample_4	Sample_5
0.571	0.629	0.6	0.649	0.613
2.802	2.395	2.211	1.902	2.719
0.546	0.565	0.543	0.539	0.496
0.614	0.61	0.625	0.67	0.63
0.844	0.696	0.694	0.721	0.881
1.714	1.574	1.858	2.014	1.848
0.419	0.402	0.421	0.425	0.403
1.216	1.228	1.272	1.283	1.221
0.632	0.632	0.653	0.659	0.638
0.871	0.861	0.868	0.883	0.857
1.164	1.184	1.183	1.161	1.155
0.882	0.882	0.892	0.873	0.879
0.468	0.465	0.491	0.488	0.475
0.691	0.67	0.723	0.753	0.722
0.849	0.884	0.907	0.907	0.864
1.114	1.286	1.356	1.405	1.121
0.718	0.989	0.677	0.677	0.686
0.734	0.749	0.797	0.825	0.765
1.086	1.073	1.116	1.109	1.068
0.685	0.71	0.704	0.708	0.686
0.704	0.679	0.717	0.714	0.704
2.89	2.938	2.989	3.001	2.885
1.945	1.935	1.972	1.961	1.942
0.951	0.942	0.934	0.921	0.931
0.648	0.663	0.671	0.669	0.653
0.957	0.943	0.92	0.94	0.964
0.5	0.502	0.516	0.511	0.494
0.502	0.498	0.522	0.51	0.505
