FROM;TO;BF
Arg;Uru;237.3886632352
Bol;Bra;17.8423675062
Bra;Per;8.1886740331
Col;Ecu;3.4481619079
Ecu;Per;6.3717852426
Ecu;Ven;5.0225277635
Bra;Arg;9.9521665006
Per;Bol;5.7513138426
Uru;Bra;32.0519992184
Ven;Col;336.1422560374
Per;Ecu;10.709963996
