FROM;TO;BF
Arg;Bra;10.3505329921
Arg;Uru;886.0788423606
Bol;Bra;15.6827059637
Bra;Per;7.0264566758
Bra;Ven;3.1599674499
Col;Ecu;3.2058736813
Ecu;Per;5.6896610484
Ecu;Ven;4.984184865
Bra;Arg;6.4567514648
Uru;Arg;3.2144415253
Per;Bol;5.3041832224
Uru;Bra;7.9469867773
Ven;Col;1093.6039697921
Per;Ecu;10.7563555186
Uru;Per;3.6860233434
