FROM;TO;BF
Arg;Bra;13.0755380003
Arg;Uru;2984.347714114
Bol;Bra;29.4215748974
Bra;Per;9.8604605
Bra;Ven;5.3689304131
Col;Ecu;3.8362809383
Ecu;Per;7.4316639548
Ecu;Ven;4.000580221
Bra;Arg;13.9472566639
Per;Bol;7.0632981895
Uru;Bra;6.7241414208
Ven;Col;1980.1956096861
Per;Ecu;9.0435267789
