FROM;TO;BF
Arg;Par;3.4025624568
Arg;Uru;3.531611134
Bol;Bra;3.651762648
Bol;Par;11.012001787
Col;Ecu;389.9386654398
Ecu;Per;142.1509781209
Par;Uru;7.1833758391
Bol;Arg;4.3203391462
Bra;Arg;3.0966400728
Par;Arg;5.5041982942
Uru;Arg;3.2113015725
Bra;Bol;14.1840995414
Par;Bol;3.6056254671
Ven;Col;59.5830226256
Uru;Par;3.97052826
