Sample_1	Sample_2	Sample_3	Sample_4	Sample_5
1.042	0.868	0.904	0.864	0.928
0.985	0.952	0.915	0.94	0.967
0.981	1.018	1.039	0.991	0.948
1.045	0.952	0.988	0.957	0.995
0.934	1.048	0.941	0.981	0.936
0.713	0.803	0.736	0.91	0.799
0.909	0.996	0.975	0.934	0.948
1.021	1.031	1.151	1.164	0.999
1.012	0.942	0.899	0.92	0.967
0.951	0.862	1.016	0.99	0.915
0.962	0.991	0.972	0.984	0.966
0.93	0.952	0.931	0.971	1.064
1.003	1.051	0.963	1.007	1.001
1.019	1.01	0.98	0.936	0.959
0.995	0.919	0.943	0.968	0.89
0.816	0.849	0.843	0.894	0.921
0.984	0.935	0.903	1.004	1.045
0.915	0.855	0.889	0.884	0.928
0.885	0.866	0.942	0.828	0.919
0.913	0.954	0.992	0.928	0.979
0.977	0.925	0.903	0.933	0.976
1.041	0.995	1.005	0.98	0.946
1.132	1.102	1.236	1.209	1.132
0.914	1.009	0.944	0.946	0.965
1.255	1.276	1.277	1.167	1.309
1.025	0.878	0.915	0.93	1
1.088	1.061	1.024	0.982	0.996
1.132	1.176	1.054	1.095	1.139
0.984	0.92	0.936	1.022	0.941
0.977	0.883	0.912	0.808	0.98
0.92	0.95	0.917	0.909	0.936
1.061	0.997	0.972	0.988	1.119
1.027	0.876	0.975	0.934	0.977
1.27	1.189	1.099	1.044	1.11
0.885	0.973	1.032	0.981	0.944
0.837	0.795	0.892	0.955	0.933
0.871	0.954	0.924	0.927	0.959
0.966	1.01	1.03	0.997	0.982
0.954	0.903	0.954	1.002	0.925
1.011	1.004	1.117	1.07	1.122
0.965	0.95	0.98	0.957	0.956
1.009	0.979	0.953	0.904	1.026
0.971	0.92	1.022	0.999	1.069
0.869	1.02	1.038	1.009	0.966
1.947	2.651	1.656	1.708	1.71
0.99	0.983	0.968	0.951	0.947
0.918	1.015	0.962	0.966	1.137
0.983	0.945	1.032	0.948	0.932
0.957	0.919	0.995	0.949	0.972
0.849	0.874	1.016	1.043	0.92
1.175	1.104	1.272	1.155	1.209
1.153	1.032	1.069	1.111	1.152
0.837	0.896	0.968	0.857	0.942
1.249	1.157	1.092	1.105	1.253
0.995	0.936	1.017	0.941	1.002
0.933	0.955	1.023	0.919	1.087
