state	c_allTransitions[1]
1.318E7	24.0
1.319E7	27.0
1.32E7	25.0
1.321E7	27.0
1.322E7	26.0
1.323E7	25.0
1.324E7	28.0
1.325E7	26.0
1.326E7	28.0
1.327E7	25.0
1.328E7	29.0
1.329E7	29.0
1.33E7	25.0
1.331E7	25.0
1.332E7	27.0
1.333E7	25.0
1.334E7	28.0
1.335E7	26.0
1.336E7	32.0
1.337E7	25.0
1.338E7	27.0
1.339E7	28.0
1.34E7	28.0
1.341E7	27.0
1.342E7	28.0
1.343E7	23.0
1.344E7	26.0
1.345E7	26.0
1.346E7	24.0
1.347E7	24.0
1.348E7	30.0
1.349E7	28.0
1.35E7	31.0
1.351E7	27.0
1.352E7	27.0
1.353E7	26.0
1.354E7	24.0
1.355E7	27.0
1.356E7	26.0
1.357E7	26.0
1.358E7	27.0
1.359E7	26.0
1.36E7	25.0
1.361E7	25.0
1.362E7	27.0
1.363E7	29.0
1.364E7	26.0
1.365E7	29.0
1.366E7	27.0
1.367E7	23.0
1.368E7	25.0
1.369E7	28.0
1.37E7	25.0
1.371E7	29.0
1.372E7	26.0
1.373E7	29.0
1.374E7	28.0
1.375E7	24.0
1.376E7	28.0
1.377E7	25.0
1.378E7	25.0
1.379E7	27.0
1.38E7	27.0
1.381E7	27.0
1.382E7	26.0
1.383E7	26.0
1.384E7	25.0
1.385E7	25.0
1.386E7	29.0
1.387E7	25.0
1.388E7	24.0
1.389E7	24.0
1.39E7	24.0
1.391E7	23.0
1.392E7	24.0
1.393E7	25.0
1.394E7	26.0
1.395E7	25.0
1.396E7	28.0
1.397E7	25.0
1.398E7	25.0
1.399E7	28.0
1.4E7	24.0
1.401E7	25.0
1.402E7	26.0
1.403E7	25.0
1.404E7	23.0
1.405E7	27.0
1.406E7	24.0
1.407E7	24.0
1.408E7	35.0
1.409E7	25.0
1.41E7	25.0
1.411E7	27.0
1.412E7	26.0
1.413E7	25.0
1.414E7	26.0
1.415E7	27.0
1.416E7	24.0
1.417E7	25.0
1.418E7	25.0
1.419E7	30.0
1.42E7	25.0
1.421E7	29.0
1.422E7	26.0
1.423E7	25.0
1.424E7	25.0
1.425E7	27.0
1.426E7	28.0
1.427E7	27.0
1.428E7	26.0
1.429E7	25.0
1.43E7	26.0
1.431E7	30.0
1.432E7	25.0
1.433E7	27.0
1.434E7	29.0
1.435E7	28.0
1.436E7	29.0
1.437E7	26.0
1.438E7	23.0
1.439E7	27.0
1.44E7	26.0
1.441E7	24.0
1.442E7	28.0
1.443E7	26.0
1.444E7	24.0
1.445E7	26.0
1.446E7	24.0
1.447E7	25.0
1.448E7	26.0
1.449E7	28.0
1.45E7	25.0
1.451E7	24.0
1.452E7	25.0
1.453E7	30.0
1.454E7	27.0
1.455E7	25.0
1.456E7	28.0
1.457E7	32.0
1.458E7	27.0
1.459E7	26.0
1.46E7	24.0
1.461E7	24.0
1.462E7	26.0
1.463E7	27.0
1.464E7	25.0
1.465E7	30.0
1.466E7	27.0
1.467E7	26.0
1.468E7	32.0
1.469E7	27.0
1.47E7	27.0
1.471E7	31.0
1.472E7	27.0
1.473E7	25.0
1.474E7	29.0
1.475E7	28.0
1.476E7	28.0
1.477E7	26.0
1.478E7	26.0
1.479E7	26.0
1.48E7	26.0
1.481E7	28.0
1.482E7	32.0
1.483E7	28.0
1.484E7	26.0
1.485E7	24.0
1.486E7	26.0
1.487E7	28.0
1.488E7	27.0
1.489E7	25.0
1.49E7	26.0
1.491E7	28.0
1.492E7	25.0
1.493E7	24.0
1.494E7	30.0
1.495E7	24.0
1.496E7	26.0
1.497E7	25.0
1.498E7	26.0
1.499E7	26.0
1.5E7	24.0
1.501E7	28.0
1.502E7	24.0
1.503E7	24.0
1.504E7	30.0
1.505E7	24.0
1.506E7	29.0
1.507E7	25.0
1.508E7	28.0
1.509E7	24.0
1.51E7	25.0
1.511E7	27.0
1.512E7	23.0
1.513E7	24.0
1.514E7	29.0
1.515E7	26.0
1.516E7	27.0
1.517E7	26.0
1.518E7	24.0
1.519E7	25.0
1.52E7	25.0
1.521E7	25.0
1.522E7	28.0
1.523E7	25.0
1.524E7	25.0
1.525E7	26.0
1.526E7	27.0
1.527E7	28.0
1.528E7	28.0
1.529E7	29.0
1.53E7	29.0
1.531E7	26.0
1.532E7	25.0
1.533E7	26.0
1.534E7	28.0
1.535E7	23.0
1.536E7	25.0
1.537E7	28.0
1.538E7	26.0
1.539E7	24.0
1.54E7	27.0
1.541E7	27.0
1.542E7	26.0
1.543E7	25.0
1.544E7	25.0
1.545E7	27.0
1.546E7	25.0
1.547E7	26.0
1.548E7	27.0
1.549E7	29.0
1.55E7	26.0
1.551E7	28.0
1.552E7	24.0
1.553E7	25.0
1.554E7	27.0
1.555E7	26.0
1.556E7	26.0
1.557E7	25.0
1.558E7	24.0
1.559E7	26.0
1.56E7	28.0
1.561E7	23.0
1.562E7	23.0
1.563E7	24.0
1.564E7	26.0
1.565E7	23.0
1.566E7	29.0
1.567E7	29.0
1.568E7	26.0
1.569E7	29.0
1.57E7	26.0
1.571E7	27.0
1.572E7	28.0
1.573E7	31.0
1.574E7	28.0
1.575E7	30.0
1.576E7	30.0
1.577E7	29.0
1.578E7	27.0
1.579E7	25.0
1.58E7	24.0
1.581E7	23.0
1.582E7	27.0
1.583E7	27.0
1.584E7	24.0
1.585E7	27.0
1.586E7	28.0
1.587E7	25.0
1.588E7	26.0
1.589E7	24.0
1.59E7	27.0
1.591E7	25.0
1.592E7	27.0
1.593E7	25.0
1.594E7	27.0
1.595E7	27.0
1.596E7	25.0
1.597E7	29.0
1.598E7	25.0
1.599E7	27.0
1.6E7	27.0
1.601E7	29.0
1.602E7	25.0
1.603E7	25.0
1.604E7	27.0
1.605E7	27.0
1.606E7	31.0
1.607E7	29.0
