FROM;TO;BF
Arg;Uru;3.4847111598
Bol;Bra;7.3324009906
Bol;Par;13.9394355442
Col;Ecu;106.1111667881
Col;Ven;4.8181741123
Ecu;Per;139.9356587076
Par;Uru;8.3398368444
Bol;Arg;4.3343232884
Bra;Arg;3.4056988364
Par;Arg;5.7950460142
Uru;Arg;3.2166807094
Bra;Bol;7.6971527237
Ven;Col;27.3443434948
Uru;Par;3.5814419178
