FROM;TO;BF
Arg;Bra;12.0493671038
Arg;Uru;2428.3340458446
Bol;Bra;29.8370122199
Bra;Per;11.2359976528
Bra;Ven;4.7708282728
Col;Ecu;3.8926766676
Ecu;Per;6.9607199237
Ecu;Ven;4.5054749462
Bra;Arg;14.3163650984
Per;Bol;6.1256353214
Uru;Bra;6.7452486727
Ven;Col;2058.7945344653
Per;Ecu;10.6550643484
