Time	Mean	Median	Upper	Lower
1994.2781916709	22.1540846204	13.650697073	92.6050834091	1.8123647159
1994.4167957954	22.8323755159	14.1137028799	95.1740891236	1.9028159942
1994.55539992	23.5248840834	14.6672062683	96.7433835066	2.0034065468
1994.6940040445	24.230139985	15.2519110404	99.6498892471	2.1196823046
1994.832608169	24.9591137911	15.8069643113	102.0933807326	2.2778332819
1994.9712122936	25.6648242685	16.4076700014	103.4636530926	2.4462239687
1995.1098164181	26.4209904034	17.0424136089	105.5908629135	2.6052113366
1995.2484205426	27.2533690774	17.701912565	108.1551375529	2.7939826789
1995.3870246672	28.024845173	18.2667397215	109.9808470391	3.0016399038
1995.5256287917	28.9588019845	18.91885443	112.999634417	3.2418951235
1995.6642329162	29.6465739227	19.5672220637	115.4560582466	3.4932599075
1995.8028370408	30.3513028195	20.2418960933	117.6800030637	3.777140414
1995.9414411653	31.0925783187	20.9288769565	119.8679025134	4.0099741212
1996.0800452899	31.9128085288	21.5457928813	122.0230633142	4.2716843099
1996.2186494144	32.7135445899	22.2239320364	124.6232639564	4.5587486149
1996.3572535389	33.4556737706	22.8626419537	125.6554894936	4.8354752266
1996.4958576635	34.1891514808	23.5331469865	128.3261344126	5.1576082589
1996.634461788	34.9515371602	24.1601733355	129.6814611708	5.4687835861
1996.7730659125	35.6867761623	24.7979697581	131.4483268883	5.7615060637
1996.9116700371	36.5045194376	25.5847301266	132.5161320175	6.0441869145
1997.0502741616	37.3283076876	26.3166711341	134.1154986466	6.2685472134
1997.1888782862	38.1415116242	26.9879347862	135.8953499207	6.5936758835
1997.3274824107	38.9893311426	27.649845329	138.9367529826	6.8089893324
1997.4660865352	39.7965118699	28.3091043259	140.8996609266	7.0558010845
1997.6046906598	40.5407222013	28.8967613992	142.5017185144	7.3203521583
1997.7432947843	41.2938535749	29.5201699301	143.215969243	7.5487222644
1997.8818989088	41.9828237338	30.066835616	144.6364750519	7.7644309391
1998.0205030334	42.5970632237	30.5520759801	147.8057354386	8.0014673842
1998.1591071579	43.1316153088	30.887205836	149.4525703419	8.1672010388
1998.2977112824	43.5510657769	31.0897758658	150.2723009437	8.2899812075
1998.436315407	43.7879856147	31.1554984783	151.5116933563	8.4153022825
1998.5749195315	43.8228579836	31.0983963859	152.2689692076	8.4438748212
1998.7135236561	43.4456297199	30.6031271199	150.3475453851	8.3406172667
1998.8521277806	42.5775606641	29.5921182424	150.3372450841	8.2585915479
1998.9907319051	40.9877110082	27.7531665135	146.8587235478	7.9870037132
1999.1293360297	37.9127089564	24.8864213988	139.8626994883	7.3892843986
1999.2679401542	32.5403840289	20.5789729394	125.0751138237	6.6935059346
1999.4065442787	24.1624287147	15.2875697315	96.8812851828	5.702081673
1999.5451484033	15.1438872132	11.3182051237	49.2696055185	4.5760642307
1999.6837525278	10.429330483	9.4095063837	22.2487289287	3.9874007215
1999.8223566523	9.6444271971	8.8801473903	19.9372181342	3.9668552395
1999.9609607769	9.5777675075	8.8039467762	19.7552456654	4.091854658
2000.0995649014	9.5335473579	8.737979335	19.6875003624	4.1361951929
2000.238169026	9.1695859871	8.3703768352	19.1230872236	3.903640913
2000.3767731505	8.5001754274	7.7979325945	17.3336013943	3.6674041166
2000.515377275	7.8355715636	7.2889153151	15.275861101	3.4749662152
2000.6539813996	7.5497965754	7.1037014144	14.2865384274	3.39411034
2000.7925855241	8.180575913	7.6938235095	15.4394276783	3.8240817233
2000.9311896486	9.6169094713	8.9882594457	18.1921292667	4.754061643
2001.0697937732	10.7263725372	9.8326636182	21.7455609152	4.9287515252
2001.2083978977	11.9225016915	10.7405848875	25.8385155251	4.9834638006
2001.3470020223	13.319775217	11.7360668521	30.485120309	5.2626219151
2001.4856061468	14.7761895994	12.8161124779	35.2138409763	5.5970935534
2001.6242102713	16.1757924016	13.832929717	39.8715098656	5.9682381934
2001.7628143959	17.4129016145	14.7406693779	44.343507924	6.2892107798
2001.9014185204	18.3647178896	15.3878536534	48.0502194606	6.5427777537
2002.0400226449	18.7977293546	15.6003801284	50.449980486	6.4265868137
2002.1786267695	18.6129658301	15.2823741956	51.2727528386	6.0703737622
2002.317230894	17.9249629319	14.7946403095	49.8725201815	5.7277996366
2002.4558350185	16.9124097837	14.0355671234	45.7010921774	5.4943399017
2002.5944391431	15.778431223	13.2726782082	41.4828051155	5.2476958546
2002.7330432676	14.6869148018	12.461574127	37.1378904975	5.0180256607
2002.8716473922	13.6461778203	11.7763874151	33.5888811953	4.7100823461
2003.0102515167	12.5626352806	10.888614739	30.4302865239	4.2205955817
2003.1488556412	11.5085108536	9.9785947692	28.2770487544	3.6105380785
2003.2874597658	11.1499885415	9.5764867945	27.9718705411	3.4751844295
2003.4260638903	11.6974864329	9.9558631042	30.1725557305	3.6241471799
2003.5646680148	13.0918995464	11.0214014041	34.3067233786	4.0920283376
2003.7032721394	14.9162350426	12.5106307217	39.2819192942	4.7962405964
2003.8418762639	16.6735790554	13.9430993863	44.3516969522	5.5923520723
2003.9804803884	18.2925655115	15.1749834092	48.9188308157	6.1894935877
2004.119084513	19.8409538662	16.229314244	53.8979992156	6.5441212614
2004.2576886375	21.3193417222	17.1551924646	60.0800572696	6.7444140076
2004.3962927621	22.7415388583	17.9541204718	66.57514907	6.8059900644
2004.5348968866	24.092737836	18.6258562146	73.1547958683	6.6826174983
2004.6735010111	25.3461684036	19.1750652751	79.6897440507	6.3874108025
2004.8121051357	26.3881149558	19.5590997453	85.6576490927	5.8684505984
2004.9507092602	26.641619192	19.5412413701	88.173642061	5.2252049291
2005.0893133847	25.6160243266	18.8376376673	84.8254640349	4.9920990637
2005.2279175093	24.5381304949	18.1290876378	80.8234977264	4.8528828914
2005.3665216338	23.4684173062	17.3971608847	76.7721642568	4.7203978136
2005.5051257583	22.4023337476	16.6819965146	72.6185701599	4.6286653278
2005.6437298829	21.3378891399	15.9496198048	68.5153154541	4.5321534022
2005.7823340074	20.2739370483	15.2364518724	64.4752599675	4.4146758954
2005.920938132	19.2100101874	14.495146097	60.7739549946	4.2836279234
2006.0595422565	18.1461602739	13.7712248045	57.20905203	4.1482288731
2006.198146381	17.0823798706	13.029667004	53.3382493458	4.0025877929
2006.3367505056	16.0187068506	12.293461463	49.4030056401	3.8570040374
2006.4753546301	14.9551564367	11.5311957071	45.5549020873	3.7008304726
2006.6139587546	13.8917566704	10.7585201118	42.0560785582	3.5246567447
2006.7525628792	12.8280134662	9.9981196395	38.6366464265	3.3240326216
2006.8911670037	11.7636802088	9.206631724	35.2267708602	3.0974875638
2007.0297711283	10.6959997581	8.3863065326	32.0553727847	2.832248224
2007.1683752528	9.6190899252	7.5501710216	28.8569172808	2.5144248811
2007.3069793773	8.5104356846	6.6310603229	26.1025865563	2.044720768
2007.4455835019	7.3177984078	5.610338748	23.60808402	1.4139676621
2007.5841876264	5.8395870274	4.3104511979	20.3820668021	0.7250306053
2007.7227917509	3.7157863016	2.3118965309	15.3654178199	0.3522123871
2007.8613958755	1.3130560556	0.734091621	6.5232505118	0.1859898442
2008	0.8175860265	0.5234237135	3.3481035757	0.1150663445
