FROM;TO;BF
Arg;Bra;14.447285403
Arg;Uru;1413.6416575992
Bol;Bra;26.7460692736
Bra;Per;7.7042779392
Bra;Ven;3.88424494
Col;Ecu;3.3659422673
Ecu;Per;6.0474642028
Ecu;Ven;5.1657395942
Bra;Arg;13.0216312749
Per;Bol;6.7098654621
Uru;Bra;6.219766041
Ven;Col;1238.4972339453
Per;Ecu;11.0560245753
Uru;Per;3.6321996376
