FROM;TO;BF
Arg;Uru;3.6295535689
Bol;Bra;3.7292863493
Bol;Par;11.5687051412
Col;Ecu;558.706158773
Ecu;Per;114.3158950932
Par;Uru;7.0436191898
Per;Ven;3.2626270062
Bol;Arg;3.7813334162
Bra;Arg;3.2660212872
Par;Arg;6.0325566628
Uru;Arg;3.3834356167
Bra;Bol;13.8600248574
Par;Bol;3.9101878273
Ven;Col;57.379683393
Uru;Par;3.8736095436
