FROM;TO;BF
Arg;Par;3.2271184961
Arg;Uru;4.0019144399
Bol;Bra;3.9059844025
Bol;Par;11.5221912882
Col;Ecu;275.9564795636
Ecu;Per;84.8997145896
Par;Uru;6.4619988833
Bol;Arg;4.0722922531
Bra;Arg;3.6806599362
Par;Arg;5.5542848007
Uru;Arg;3.1571466435
Bra;Bol;14.8839673717
Par;Bol;3.3028192452
Ven;Col;52.6494661776
Uru;Par;4.0916029303
