COUNTRY,FROM,TO
Argentina,"1.126","14.05"
Bolivia,"8.389","6.243"
Brazil,"1.168","1.281"
Colombia,"5.154","1.883"
Ecuador,"2.378","1.178"
Paraguay,0.0,0.0
Peru,"1.987","1.987"
Uruguay,"4.169","0.74"
Venezuela,"7.127","5.354"
