FROM	TO	JUMPA	JUMPO	JUMPA2	JUMPO2
Bol	Arg	0.28	0.15	0.266	0.192
Bra	Arg	2.68	0.1	2.818	0.15
Col	Arg	0.21	0.02	0.224	0.04845
Ecu	Arg	0.21	0.03	0.473	0.09101
Par	Arg	0	0.23	0	0.193
Per	Arg	0.02	0	0.01735	0.001939
Uru	Arg	4.2	0.28	2.623	0.197
Ven	Arg	0.05	0	0.04969	0.01679
Arg	Bol	0.36	1.02	0.3	1.172
Bra	Bol	0	0	0	0
Col	Bol	1.22	1.93	1.151	1.82
Ecu	Bol	0.08	0.12	0.08654	0.16
Par	Bol	0	0.11		0.132
Per	Bol	0.04	1.23	0.05175	1.206
Uru	Bol	0	0.01	0.0007343	0.01377
Ven	Bol	0.02	0.26	0.01802	0.349
Arg	Bra	0.02	0.04	0.02371	0.07328
Bol	Bra	2.44	0.3	2.558	0.508
Col	Bra	0.43	1.23	0.325	1.283
Ecu	Bra	0	0	0	0
Par	Bra	0	0.09	0	0.126
Per	Bra	0.16	0.13	0.172	0.172
Uru	Bra	0.08	0.25	0.135	0.344
Ven	Bra	0.03	0.01	0.02711	0.01138
Arg	Col	0.1	0.17	0.129	0.248
Bol	Col	0.09	0.04	0.09482	0.06635
Bra	Col	0.24	0.09	0.24	0.214
Ecu	Col	0.07	0.61	0.0835	0.641
Par	Col	0	0.35	0	0.422
Per	Col	0.16	0	0.166	0
Uru	Col	0	4.48	0	4.344
Ven	Col	0.53	0.1	0.389	0.168
Arg	Ecu	0.02	0.08	0.01105	0.06909
Bol	Ecu	0.02	0.04	0.0298	0.11
Bra	Ecu	0.84	1.84	0.639	1.438
Col	Ecu	0.28	0.08	0.34	0.2
Par	Ecu	0	0.09	0	0.09253
Per	Ecu	0.03	0.09	0.03308	0.109
Uru	Ecu	0.1	0.63	0.12	0.61
Ven	Ecu	0.44	0	0.178	0
Arg	Par	0	0.05	0	0.147
Bol	Par	0	1.33	0	1.153
Bra	Par	0	0.03	0	0.07627
Col	Par	0	0.12	0	0.129
Ecu	Par	0	0.37	0	0.219
Per	Par	0	0.52	0	0.287
Uru	Par	0	0.22	0	0.105
Ven	Par	0	0.03	0	0.05843
Arg	Per	0	0.05	0	0.0953
Bol	Per	0.02	0	0	0
Bra	Per	0.01	0	0.007188	0.002201
Col	Per	0.12	0.27	0.0104	0.186
Ecu	Per	3.09	0.01	0.06866	0.01493
Par	Per	0.8	0	3.438	0.003692
Uru	Per	5.71	0.01	0.786	0.009451
Ven	Per	0	0	6.623	0.004257
Arg	Uru	0.57	0.02	0.491	0.01828
Bol	Uru	2.37	0.28	2.207	0.139
Bra	Uru	0	0	0	0.002694
Col	Uru	0.17	0	0.239	0
Ecu	Uru	1.31	0	1.663	0.002455
Par	Uru	0	0	0	0.007806
Per	Uru	4.26	0.22	1.584	0.148
Ven	Uru	0.03	0.04	0.03415	0.05243
Arg	Ven	0.22	0.04	0.247	0.05229
Bol	Ven	0.03	0.01	0.06528	0.03587
Bra	Ven	0.01	0.03	0.02841	0.07554
Col	Ven	0	0.36	0.004563	0.299
Ecu	Ven	0	0	0	0.001324
Par	Ven	0	0	0	0
Per	Ven	0.01	0	0.02548	0.009222
Uru	Ven	0.09	0.01	0.124	0.02908
